fraction_of_joint_limit,qpos_m,physical_min_x_m,physical_min_y_m,physical_min_z_m,physical_max_x_m,physical_max_y_m,physical_max_z_m,physical_extent_x_m,physical_extent_y_m,physical_extent_z_m,proxy_min_x_m,proxy_min_y_m,proxy_min_z_m,proxy_max_x_m,proxy_max_y_m,proxy_max_z_m,proxy_extent_x_m,proxy_extent_y_m,proxy_extent_z_m,outside_proxy_neg_x_m,outside_proxy_neg_y_m,outside_proxy_neg_z_m,outside_proxy_pos_x_m,outside_proxy_pos_y_m,outside_proxy_pos_z_m,aabb_iou
0.5,0.08910000324249268,-0.11687994748353958,-0.1147804856300354,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.3317849934101105,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.09944499063003538,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.2879072209816441
0.55,0.09801000356674196,-0.11687994748353958,-0.12369047105312347,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.34069497883319855,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.10835497605312346,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.28226880401235416
0.6000000000000001,0.10692000389099122,-0.11687994748353958,-0.13260048627853394,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.349604994058609,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.11726499127853392,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.27684697438902467
0.65,0.11583000421524048,-0.11687994748353958,-0.1415104866027832,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.3585149943828583,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.12617499160278317,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.2716295133792515
0.7000000000000001,0.12474000453948976,-0.11687994748353958,-0.15042048692703247,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.36742499470710754,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.13508499192703244,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.26660507138196043
0.75,0.133650004863739,-0.11687994748353958,-0.15933047235012054,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.3763349801301956,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.1439949773501205,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.26176313982184823
0.8,0.14256000518798828,-0.11687994748353958,-0.168240487575531,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.3852449953556061,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.15290499257553097,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.25709392867573083
0.8500000000000001,0.15147000551223758,-0.11687994748353958,-0.17715048789978027,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.39415499567985535,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.16181499289978024,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.2525883802294011
0.9,0.16038000583648682,-0.11687994748353958,-0.18606047332286835,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.4030649811029434,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.17072497832286831,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.24823803776648554
0.9500000000000001,0.16929000616073608,-0.11687994748353958,-0.1949704885482788,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.4119749963283539,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.17963499354827878,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.2440349966044757
1.0,0.17820000648498535,-0.11687994748353958,-0.20388048887252808,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.42088499665260315,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.18854499387252804,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.2399719199719212
