query_index,requested_qpos_m,basket_offset_x_m,basket_offset_y_m,actual_qpos_0_m,actual_qpos_1_m,actual_qpos_2_m,qpos_max_abs_error_m,qvel_norm_m_s,oracle_contact,oracle_penetration,min_separation_m
817,0.0675,0.42,0.019999999999999962,0.17820000648498535,0.17820000648498535,0.15766891837120056,0.11070000648498535,2.8678982257843018,False,False,
818,0.0675,-0.42,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15709522366523743,0.11070000648498535,2.8677594661712646,False,False,
819,0.0675,-0.39999999999999997,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.1565217822790146,0.11070000648498535,2.8676207065582275,False,False,
820,0.0675,-0.38,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15594838559627533,0.11070000648498535,2.8674819469451904,False,False,
821,0.0675,-0.36,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15537498891353607,0.11070000648498535,2.8673431873321533,False,False,
822,0.0675,-0.33999999999999997,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15480159223079681,0.11070000648498535,2.867204427719116,False,False,0.006578236818313599
823,0.0675,-0.31999999999999995,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15422819554805756,0.11070000648498535,2.867065668106079,True,True,-0.013416588306427002
824,0.0675,-0.3,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.1536547988653183,0.11070000648498535,2.866926908493042,True,True,-0.020959816873073578
825,0.0675,-0.27999999999999997,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15308140218257904,0.11070000648498535,2.866788148880005,True,True,-0.020959816873073578
826,0.0675,-0.26,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15250800549983978,0.11070000648498535,2.8666493892669678,True,True,-0.020959816873073578
827,0.0675,-0.24,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15193460881710052,0.11070000648498535,2.8665106296539307,True,True,-0.02095983177423477
828,0.0675,-0.21999999999999997,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15136121213436127,0.11070000648498535,2.8663718700408936,True,True,-0.02095983177423477
829,0.0675,-0.19999999999999998,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.1507878303527832,0.11070000648498535,2.8662331104278564,True,True,-0.02095983177423477
830,0.0675,-0.18,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15021473169326782,0.11070000648498535,2.8660943508148193,True,True,-0.02095983177423477
831,0.0675,-0.15999999999999998,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.14964163303375244,0.11070000648498535,2.8659555912017822,True,True,-0.02095983177423477
832,0.0675,-0.13999999999999996,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.14906853437423706,0.11070000648498535,2.865816831588745,True,True,-0.02095983177423477
833,0.0675,-0.12,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.14849543571472168,0.11070000648498535,2.865678071975708,True,True,-0.020959846675395966
834,0.0675,-0.09999999999999998,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.1479223370552063,0.11070000648498535,2.865539312362671,True,True,-0.020959846675395966
835,0.0675,-0.07999999999999996,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.14734923839569092,0.11070000648498535,2.865400552749634,True,True,-0.020959846675395966
836,0.0675,-0.06,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.14677613973617554,0.11070000648498535,2.8652617931365967,True,True,-0.020959846675395966
837,0.0675,-0.03999999999999998,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.14620304107666016,0.11070000648498535,2.8651230335235596,True,True,-0.020959846675395966
838,0.0675,-0.019999999999999962,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.14562994241714478,0.11070000648498535,2.8649842739105225,True,True,-0.020959846675395966
839,0.0675,0.0,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.1450568437576294,0.11070000648498535,18.452056884765625,True,True,-0.02095986157655716
840,0.0675,0.020000000000000018,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.14705687761306763,0.11070000648498535,9.99975299835205,True,True,-0.02095986157655716
841,0.0675,0.040000000000000036,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.14905691146850586,0.11070000648498535,9.99954891204834,True,True,-0.02095986157655716
842,0.0675,0.06,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15105679631233215,0.11070000648498535,9.999344825744629,True,True,-0.02095986157655716
843,0.0675,0.08000000000000002,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.1530565321445465,0.11070000648498535,9.999140739440918,True,True,-0.02095986157655716
844,0.0675,0.10000000000000003,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15505626797676086,0.11070000648498535,9.998936653137207,True,True,-0.020959846675395966
845,0.0675,0.12000000000000005,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15705600380897522,0.11070000648498535,9.998732566833496,True,True,-0.020959846675395966
846,0.0675,0.14000000000000007,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.15905573964118958,0.11070000648498535,9.998528480529785,True,True,-0.020959846675395966
847,0.0675,0.15999999999999998,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.16105547547340393,0.11070000648498535,9.998324394226074,True,True,-0.02095986157655716
848,0.0675,0.18,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.1630552113056183,0.11070000648498535,9.998120307922363,True,True,-0.02095986157655716
849,0.0675,0.2,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.16505490243434906,0.11070000648498535,9.997916221618652,True,True,-0.02095986157655716
850,0.0675,0.22000000000000003,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.16705434024333954,0.11070000648498535,9.997712135314941,True,True,-0.02095986157655716
851,0.0675,0.24000000000000005,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.16905377805233002,0.11070000648498535,9.99750804901123,True,True,-0.02095986157655716
852,0.0675,0.26000000000000006,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.1710532158613205,0.11070000648498535,9.99730396270752,True,True,-0.02095986157655716
853,0.0675,0.2800000000000001,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.17305265367031097,0.11070000648498535,9.997099876403809,True,True,-0.020959876477718353
854,0.0675,0.3,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.17505209147930145,0.11070000648498535,9.996895790100098,True,True,-0.020959876477718353
855,0.0675,0.32,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.17705152928829193,0.11070000648498535,9.996691703796387,True,True,-0.015421509742736816
856,0.0675,0.34,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,7.115231710486114e-05,False,False,0.004426747560501099
857,0.0675,0.36000000000000004,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,6.354181070200582e-12,False,False,
858,0.0675,0.38000000000000006,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
859,0.0675,0.4000000000000001,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
860,0.0675,0.42,0.03999999999999998,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
861,0.0675,-0.42,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
862,0.0675,-0.39999999999999997,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
863,0.0675,-0.38,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
864,0.0675,-0.36,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
865,0.0675,-0.33999999999999997,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,0.006578236818313599
866,0.0675,-0.31999999999999995,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.01332758367061615
867,0.0675,-0.3,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959816873073578
868,0.0675,-0.27999999999999997,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959816873073578
869,0.0675,-0.26,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959816873073578
870,0.0675,-0.24,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959816873073578
871,0.0675,-0.21999999999999997,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095983177423477
872,0.0675,-0.19999999999999998,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095983177423477
873,0.0675,-0.18,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095983177423477
874,0.0675,-0.15999999999999998,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095983177423477
875,0.0675,-0.13999999999999996,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095983177423477
876,0.0675,-0.12,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095983177423477
877,0.0675,-0.09999999999999998,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
878,0.0675,-0.07999999999999996,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
879,0.0675,-0.06,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
880,0.0675,-0.03999999999999998,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
881,0.0675,-0.019999999999999962,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
882,0.0675,0.0,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
883,0.0675,0.020000000000000018,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
